src,trg
Dynamic resistivity of a two-dimensional electron gas with electric modulation,Magnetoresistance due to chaos and nonlinear resonances in lateral surface superlattices
Resistance-voltage dependence of nanojunctions during electromigration in ultrahigh vacuum,Determination of the atomic structure of scanning probe microscopy tungsten tips by field ion microscopy
Tunneling probe of fluctuating superconductivity in disordered thin films,Experimental Evidence for a Collective Insulating State in Two-Dimensional Superconductors
Impact on Interface Spin Polarization of Molecular Bonding to Metallic Surfaces,Observation of Fowler–Nordheim hole tunneling across an electron tunnel junction due to total symmetry filtering
"He4 adsorbed inside (10,10) single-walled carbon nanotubes",Quasi-one-dimensional 4He inside carbon nanotubes
Reversible magnetization of the layered high-Tc superconductors,Hidden order in the cuprates
Ultrafast charge and lattice dynamics in one-dimensional Mott insulator of CuO-chain compound Ca2CuO3 investigated by femtosecond absorption spectroscopy,Time Evolution of the Electronic Structure of 1T−TaS2 through the Insulator-Metal Transition
Effects of Al doping on the normal and superconducting properties of MgB2: A specific heat study,Effect of magnetic and nonmagnetic impurities on highly anisotropic superconductivity
Average size of random polygons with fixed knot topology,Equilibrium size of large ring molecules
Fermions with Lorentz-violating operators of arbitrary dimension,Limit on Lorentz and CPT violation of the bound neutron using a free precession He3/Xe129 comagnetometer
Approximate self-consistent potentials for density-functional-theory exchange-correlation functionals,Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density
Everlasting effect of initial conditions on single-file diffusion,Single-File Diffusion Observation
Polar-discontinuity-retaining A-site intermixing and vacancies at SrTiO3/LaAlO3 interfaces,Origin of insulating behavior of the p-type LaAlO3/SrTiO3 interface: Polarization-induced asymmetric distribution of oxygen vacancies
String Picture for a Model of Frustrated Quantum Magnets and Dimers,Absence of Ferromagnetism or Antiferromagnetism in One- or Two-Dimensional Isotropic Heisenberg Models
Antiferromagnetism in the organic conductor bis-tetramethyltetraselenafulvalene hexafluoroarsenate [(TMTSF)2AsF6]: Static magnetic susceptibility,Antiferromagnetic Ordering in the Organic Conductor bis-Tetramethyltetraselenafulvalene-Hexafluorophosphate [(TMTSF)2 -PF6]
Generalized coherent-potential method for disordered systems. II. Numerical results,"Shielding, the bulk chemical potential, and cohesion in alloys"
Microscopic hole-transfer efficiency in organic thin-film transistors studied with charge-modulation spectroscopy,Optical absorption spectra of the Holstein molecular crystal for weak and intermediate electronic coupling
Contactless Microwave Characterization of Encapsulated Graphene p−n Junctions,Role of MgO barriers for spin and charge transport in Co/MgO/graphene nonlocal spin-valve devices
Pattern evolution caused by dynamic coupling between wetting and phase separation in binary liquid mixture containing glass particles,Dynamic interplay between phase separation and wetting in a binary mixture confined in a one-dimensional capillary
Modified electron propagation function in strong magnetic fields,Radiative polarization of electrons
Particle emission rates from a black hole. III. Charged leptons from a nonrotating hole,"Particle emission rates from a black hole: Massless particles from an uncharged, nonrotating hole"
Gauge propagator and physical consistency of the CPT-even part of the standard model extension,Phenomenological gravitational constraints on strings and higher-dimensional theories
Consistent treatment of charged systems within periodic boundary conditions: The projector augmented-wave and pseudopotential methods revisited,Generalized Gradient Approximation Made Simple
Quantum-State-Specific Detection of Molecular Hydrogen by Three-Photon Ionization,"Collisional and radiative properties of the H2 E,FΣg1+ state"
Persistent and Reversible All-Optical Phase Control in a Manganite Thin Film,Bicritical features of the metal-insulator transition in bandwidth-controlled manganites: Single crystals of Pr1−x(Ca1−ySry)xMnO3
Analysis of photoluminescence from solubilized single-walled carbon nanotubes,Trigonal warping effect of carbon nanotubes
From bosonic topological transition to symmetric fermion mass generation,Interacting fermionic topological insulators/superconductors in three dimensions
ac conductance through an interacting quantum dot,Electron-phonon interaction and full counting statistics in molecular junctions
"Modification of SiO through room-temperature plasma treatments, rapid thermal annealings, and laser irradiation in a nonoxidizing atmosphere",Multiple-bonding configurations for oxygen on silicon surfaces
Cotunneling through quantum dots coupled to magnetic leads: Zero-bias anomaly for noncollinear magnetic configurations,Measurements of Kondo and Spin Splitting in Single-Electron Transistors
Scalable method for demonstrating the Deutsch-Jozsa and Bernstein-Vazirani algorithms using cluster states,Potential and limits to cluster-state quantum computing using probabilistic gates
Pseudorandom circuits from Clifford-plus-T gates,Scheme for reducing decoherence in quantum computer memory
Bound states of fractionalized excitations in a modulated Kitaev spin liquid,Solitons in carbon nanotubes
Cell aggregation: Packing soft grains,Scalar model of inhomogeneous elastic and granular media
Resonance parameters of Ni60+n from measurements of transmission and capture yields from 1 to 450 keV,Neutron capture cross section in Zn64
Flux dynamics associated with the second magnetization peak in the iron pnictide Ba1−xKxFe2As2,Vortex dynamics differences due to twin-boundary pinning anisotropy in YBa2Cu3Ox at low temperatures for H‖ab planes
Quantum dynamics and thermalization for out-of-equilibrium φ4 theory,Stochastic treatment of disoriented chiral condensates within a Langevin description
Neutrino mass and dark matter from gauged U(1)B−L breaking,Natural Z′ model with an inverse seesaw mechanism and leptonic dark matter
Vector magnetic hysteresis of hard superconductors,Visualization of longitudinal and transverse currents in a Josephson medium by polarized neutrons
Ab initio evaluation of Coulomb and exchange parameters for DFT+U calculations,Simulation of ionic crystals: The ab initio perturbed-ion method and application to alkali hydrides and halides
Laser Trapping of Ra225 and Ra226 with Repumping by Room-Temperature Blackbody Radiation,Nuclear octupole correlations and the enhancement of atomic time-reversal violation
Minimal extension of Einstein’s theory: The quartic gravity,AdS-plane wave and pp-wave solutions of generic gravity theories
Nonlinear equation for diffusion and adatom interactions during epitaxial growth on vicinal surfaces,Transport on a dynamically disordered lattice
Brillouin-zone-selection effects in graphite photoelectron angular distributions,First-principles study of the electronic properties of simple hexagonal graphite
Quantum distance and the Euler number index of the Bloch band in a one-dimensional spin model,Berry phase effects on electronic properties
Calorimetric determination of the upper critical fields and anisotropy of NdFeAsO1−xFx single crystals,Magnetic measurements of the upper critical field of YBa2Cu3O7−δ single crystals
Precise Measurement of the Pion Axial Form Factor in the π+→e+νγ Decay,Theory of the Fermi Interaction
Enhanced supersymmetric corrections to top-quark production at the Fermilab Tevatron,Perturbative resummed series for top quark production in hadron reactions
Quantum fluctuations and Collective Oscillations of a Bose-Einstein Condensate in a 2D Optical Lattice,Two-body problem in periodic potentials
Cowley Theory of Long-Range Order in β−CuZn,Short-Range Order and Long-Range Order Parameters
First-principles simulation of atomic force microscopy image formation on a GaAs(110) surface: Effect of tip morphology,Quantity measured in frequency-shift-mode atomic-force microscopy: An analysis with a numerical model
Measurement of σABS and σCX of π+ on carbon by the Dual Use Experiment at TRIUMF (DUET),Reaction and total cross sections for 400–500 MeV π− on nuclei
Observation of Orbital Order in the Half-Filled 4f Gd Compound,Orbital and Bonding Anisotropy in a Half-Filled GaFeO3 Magnetoelectric Ferrimagnet
Importance of resonance widths in low-energy scattering of weakly bound light-mass nuclei,Role of the Pauli Principle in Collective-Model Coupled-Channel Calculations
1p3/2 Proton-Hole State in Sn132 and the Shell Structure Along N=82,"Decays of In131, Sn131, and the position of the h11∕2 neutron hole state"
Superconductivity in the three-band model of cuprates: Variational wave function study and relation to the single-band case,Phase-sensitive tests of the symmetry of the pairing state in the high-temperature superconductors—Evidence for dx2−y2 symmetry
